LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
550,29-03-2023,02:35:35.821,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
551,29-03-2023,02:35:35.821,[http-nio-8080-exec-1],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
552,29-03-2023,02:35:35.990,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
553,29-03-2023,02:35:35.990,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
554,29-03-2023,02:35:36.156,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
555,29-03-2023,02:35:36.156,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
556,29-03-2023,02:35:36.312,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
557,29-03-2023,02:35:36.312,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
558,29-03-2023,02:35:37.127,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
559,29-03-2023,02:35:37.128,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
560,29-03-2023,02:35:37.296,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
561,29-03-2023,02:35:37.296,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
562,29-03-2023,02:35:37.429,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
563,29-03-2023,02:35:37.429,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
564,29-03-2023,02:35:37.639,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
565,29-03-2023,02:35:37.639,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
566,29-03-2023,02:45:55.401,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
567,29-03-2023,02:45:55.421,[http-nio-8080-exec-3],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
568,29-03-2023,02:45:55.674,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
569,29-03-2023,02:45:55.674,[http-nio-8080-exec-2],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
570,29-03-2023,02:45:55.944,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
571,29-03-2023,02:45:55.944,[http-nio-8080-exec-5],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
572,29-03-2023,02:45:56.121,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
573,29-03-2023,02:45:56.122,[http-nio-8080-exec-4],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
574,29-03-2023,02:45:56.460,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
575,29-03-2023,02:45:56.461,[http-nio-8080-exec-6],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
576,29-03-2023,02:45:56.664,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
577,29-03-2023,02:45:56.664,[http-nio-8080-exec-7],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
578,29-03-2023,02:45:56.887,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
579,29-03-2023,02:45:56.887,[http-nio-8080-exec-8],INFO,c.b.management.services.UserService.getAllCards ,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,deec0f0e,/home/ubuntu/Anomaly-Detection/Bank-Management-Spring-ELK/card.json\,[]
580,29-03-2023,02:45:57.057,[http-nio-8080-exec-9],INFO,c.b.management.services.UserService.getAllCards ,Fetching ALL card details...\,e84b414a,Fetching ALL <*> details...\,['card']
